統計項目,行業代碼,行業別,資料期(民國年),統計值(指數),計量單位
營業額指數,45_46,批發業,08801,63.84,110年=100
營業額指數,45_46,批發業,08802,65.19,110年=100
營業額指數,45_46,批發業,08803,66.45,110年=100
營業額指數,45_46,批發業,08804,67.00,110年=100
營業額指數,45_46,批發業,08805,67.19,110年=100
營業額指數,45_46,批發業,08806,67.91,110年=100
營業額指數,45_46,批發業,08807,70.21,110年=100
營業額指數,45_46,批發業,08808,69.61,110年=100
營業額指數,45_46,批發業,08809,68.89,110年=100
營業額指數,45_46,批發業,08810,67.77,110年=100
營業額指數,45_46,批發業,08811,68.19,110年=100
營業額指數,45_46,批發業,08812,72.20,110年=100
營業額指數,45_46,批發業,08901,73.65,110年=100
營業額指數,45_46,批發業,08902,70.59,110年=100
營業額指數,45_46,批發業,08903,74.69,110年=100
營業額指數,45_46,批發業,08904,74.69,110年=100
營業額指數,45_46,批發業,08905,77.04,110年=100
營業額指數,45_46,批發業,08906,76.76,110年=100
營業額指數,45_46,批發業,08907,78.92,110年=100
營業額指數,45_46,批發業,08908,78.77,110年=100
營業額指數,45_46,批發業,08909,78.58,110年=100
營業額指數,45_46,批發業,08910,76.53,110年=100
營業額指數,45_46,批發業,08911,75.43,110年=100
營業額指數,45_46,批發業,08912,75.19,110年=100
營業額指數,45_46,批發業,09001,70.20,110年=100
營業額指數,45_46,批發業,09002,68.64,110年=100
營業額指數,45_46,批發業,09003,73.05,110年=100
營業額指數,45_46,批發業,09004,70.25,110年=100
營業額指數,45_46,批發業,09005,68.55,110年=100
營業額指數,45_46,批發業,09006,67.99,110年=100
營業額指數,45_46,批發業,09007,68.24,110年=100
營業額指數,45_46,批發業,09008,70.50,110年=100
營業額指數,45_46,批發業,09009,66.40,110年=100
營業額指數,45_46,批發業,09010,70.44,110年=100
營業額指數,45_46,批發業,09011,72.34,110年=100
營業額指數,45_46,批發業,09012,75.26,110年=100
營業額指數,45_46,批發業,09101,70.93,110年=100
營業額指數,45_46,批發業,09102,64.45,110年=100
營業額指數,45_46,批發業,09103,74.29,110年=100
營業額指數,45_46,批發業,09104,72.95,110年=100
營業額指數,45_46,批發業,09105,72.49,110年=100
營業額指數,45_46,批發業,09106,73.39,110年=100
營業額指數,45_46,批發業,09107,74.51,110年=100
營業額指數,45_46,批發業,09108,73.65,110年=100
營業額指數,45_46,批發業,09109,75.42,110年=100
營業額指數,45_46,批發業,09110,77.39,110年=100
營業額指數,45_46,批發業,09111,76.87,110年=100
營業額指數,45_46,批發業,09112,77.89,110年=100
營業額指數,45_46,批發業,09201,74.57,110年=100
營業額指數,45_46,批發業,09202,65.75,110年=100
營業額指數,45_46,批發業,09203,73.74,110年=100
營業額指數,45_46,批發業,09204,71.55,110年=100
營業額指數,45_46,批發業,09205,68.13,110年=100
營業額指數,45_46,批發業,09206,69.92,110年=100
營業額指數,45_46,批發業,09207,73.17,110年=100
營業額指數,45_46,批發業,09208,74.02,110年=100
營業額指數,45_46,批發業,09209,75.38,110年=100
營業額指數,45_46,批發業,09210,78.43,110年=100
營業額指數,45_46,批發業,09211,76.21,110年=100
營業額指數,45_46,批發業,09212,80.44,110年=100
營業額指數,45_46,批發業,09301,73.19,110年=100
營業額指數,45_46,批發業,09302,73.08,110年=100
營業額指數,45_46,批發業,09303,77.88,110年=100
營業額指數,45_46,批發業,09304,77.58,110年=100
營業額指數,45_46,批發業,09305,76.51,110年=100
營業額指數,45_46,批發業,09306,76.39,110年=100
營業額指數,45_46,批發業,09307,75.90,110年=100
營業額指數,45_46,批發業,09308,74.99,110年=100
營業額指數,45_46,批發業,09309,76.87,110年=100
營業額指數,45_46,批發業,09310,78.82,110年=100
營業額指數,45_46,批發業,09311,79.31,110年=100
營業額指數,45_46,批發業,09312,81.30,110年=100
營業額指數,45_46,批發業,09401,79.48,110年=100
營業額指數,45_46,批發業,09402,68.46,110年=100
營業額指數,45_46,批發業,09403,85.20,110年=100
營業額指數,45_46,批發業,09404,81.42,110年=100
營業額指數,45_46,批發業,09405,80.51,110年=100
營業額指數,45_46,批發業,09406,81.77,110年=100
營業額指數,45_46,批發業,09407,79.76,110年=100
營業額指數,45_46,批發業,09408,82.18,110年=100
營業額指數,45_46,批發業,09409,81.63,110年=100
營業額指數,45_46,批發業,09410,81.24,110年=100
營業額指數,45_46,批發業,09411,83.56,110年=100
營業額指數,45_46,批發業,09412,85.18,110年=100
營業額指數,45_46,批發業,09501,82.38,110年=100
營業額指數,45_46,批發業,09502,76.41,110年=100
營業額指數,45_46,批發業,09503,87.45,110年=100
營業額指數,45_46,批發業,09504,84.92,110年=100
營業額指數,45_46,批發業,09505,83.35,110年=100
營業額指數,45_46,批發業,09506,84.72,110年=100
營業額指數,45_46,批發業,09507,83.54,110年=100
營業額指數,45_46,批發業,09508,82.86,110年=100
營業額指數,45_46,批發業,09509,83.68,110年=100
營業額指數,45_46,批發業,09510,83.12,110年=100
營業額指數,45_46,批發業,09511,85.24,110年=100
營業額指數,45_46,批發業,09512,85.61,110年=100
營業額指數,45_46,批發業,09601,83.12,110年=100
營業額指數,45_46,批發業,09602,71.97,110年=100
營業額指數,45_46,批發業,09603,83.78,110年=100
營業額指數,45_46,批發業,09604,80.80,110年=100
營業額指數,45_46,批發業,09605,82.18,110年=100
營業額指數,45_46,批發業,09606,80.96,110年=100
營業額指數,45_46,批發業,09607,83.05,110年=100
營業額指數,45_46,批發業,09608,83.53,110年=100
營業額指數,45_46,批發業,09609,81.18,110年=100
營業額指數,45_46,批發業,09610,85.48,110年=100
營業額指數,45_46,批發業,09611,83.69,110年=100
營業額指數,45_46,批發業,09612,85.87,110年=100
營業額指數,45_46,批發業,09701,85.70,110年=100
營業額指數,45_46,批發業,09702,72.49,110年=100
營業額指數,45_46,批發業,09703,84.54,110年=100
營業額指數,45_46,批發業,09704,83.90,110年=100
營業額指數,45_46,批發業,09705,84.03,110年=100
營業額指數,45_46,批發業,09706,81.54,110年=100
營業額指數,45_46,批發業,09707,82.04,110年=100
營業額指數,45_46,批發業,09708,81.92,110年=100
營業額指數,45_46,批發業,09709,80.09,110年=100
營業額指數,45_46,批發業,09710,79.04,110年=100
營業額指數,45_46,批發業,09711,71.19,110年=100
營業額指數,45_46,批發業,09712,70.82,110年=100
營業額指數,45_46,批發業,09801,65.70,110年=100
營業額指數,45_46,批發業,09802,66.25,110年=100
營業額指數,45_46,批發業,09803,72.42,110年=100
營業額指數,45_46,批發業,09804,75.10,110年=100
營業額指數,45_46,批發業,09805,72.91,110年=100
營業額指數,45_46,批發業,09806,78.26,110年=100
營業額指數,45_46,批發業,09807,80.42,110年=100
營業額指數,45_46,批發業,09808,78.90,110年=100
營業額指數,45_46,批發業,09809,81.10,110年=100
營業額指數,45_46,批發業,09810,81.85,110年=100
營業額指數,45_46,批發業,09811,79.11,110年=100
營業額指數,45_46,批發業,09812,81.04,110年=100
營業額指數,45_46,批發業,09901,76.70,110年=100
營業額指數,45_46,批發業,09902,67.78,110年=100
營業額指數,45_46,批發業,09903,79.23,110年=100
營業額指數,45_46,批發業,09904,79.42,110年=100
營業額指數,45_46,批發業,09905,77.44,110年=100
營業額指數,45_46,批發業,09906,80.01,110年=100
營業額指數,45_46,批發業,09907,82.51,110年=100
營業額指數,45_46,批發業,09908,80.33,110年=100
營業額指數,45_46,批發業,09909,82.86,110年=100
營業額指數,45_46,批發業,09910,84.67,110年=100
營業額指數,45_46,批發業,09911,81.76,110年=100
營業額指數,45_46,批發業,09912,84.05,110年=100
營業額指數,45_46,批發業,10001,82.03,110年=100
營業額指數,45_46,批發業,10002,70.49,110年=100
營業額指數,45_46,批發業,10003,81.66,110年=100
營業額指數,45_46,批發業,10004,79.86,110年=100
營業額指數,45_46,批發業,10005,79.67,110年=100
營業額指數,45_46,批發業,10006,82.79,110年=100
營業額指數,45_46,批發業,10007,83.51,110年=100
營業額指數,45_46,批發業,10008,81.70,110年=100
營業額指數,45_46,批發業,10009,81.64,110年=100
營業額指數,45_46,批發業,10010,80.55,110年=100
營業額指數,45_46,批發業,10011,76.46,110年=100
營業額指數,45_46,批發業,10012,77.65,110年=100
營業額指數,45_46,批發業,10101,70.53,110年=100
營業額指數,45_46,批發業,10102,73.41,110年=100
營業額指數,45_46,批發業,10103,78.24,110年=100
營業額指數,45_46,批發業,10104,76.26,110年=100
營業額指數,45_46,批發業,10105,79.11,110年=100
營業額指數,45_46,批發業,10106,79.44,110年=100
營業額指數,45_46,批發業,10107,80.44,110年=100
營業額指數,45_46,批發業,10108,79.94,110年=100
營業額指數,45_46,批發業,10109,81.09,110年=100
營業額指數,45_46,批發業,10110,82.08,110年=100
營業額指數,45_46,批發業,10111,80.05,110年=100
營業額指數,45_46,批發業,10112,79.88,110年=100
營業額指數,45_46,批發業,10201,81.86,110年=100
營業額指數,45_46,批發業,10202,66.15,110年=100
營業額指數,45_46,批發業,10203,80.37,110年=100
營業額指數,45_46,批發業,10204,77.25,110年=100
營業額指數,45_46,批發業,10205,79.90,110年=100
營業額指數,45_46,批發業,10206,80.45,110年=100
營業額指數,45_46,批發業,10207,83.09,110年=100
營業額指數,45_46,批發業,10208,80.69,110年=100
營業額指數,45_46,批發業,10209,83.50,110年=100
營業額指數,45_46,批發業,10210,83.78,110年=100
營業額指數,45_46,批發業,10211,81.01,110年=100
營業額指數,45_46,批發業,10212,83.89,110年=100
營業額指數,45_46,批發業,10301,81.17,110年=100
營業額指數,45_46,批發業,10302,68.36,110年=100
營業額指數,45_46,批發業,10303,80.58,110年=100
營業額指數,45_46,批發業,10304,81.25,110年=100
營業額指數,45_46,批發業,10305,81.89,110年=100
營業額指數,45_46,批發業,10306,82.69,110年=100
營業額指數,45_46,批發業,10307,83.38,110年=100
營業額指數,45_46,批發業,10308,80.73,110年=100
營業額指數,45_46,批發業,10309,85.02,110年=100
營業額指數,45_46,批發業,10310,84.06,110年=100
營業額指數,45_46,批發業,10311,80.93,110年=100
營業額指數,45_46,批發業,10312,85.52,110年=100
營業額指數,45_46,批發業,10401,83.39,110年=100
營業額指數,45_46,批發業,10402,67.60,110年=100
營業額指數,45_46,批發業,10403,81.84,110年=100
營業額指數,45_46,批發業,10404,81.89,110年=100
營業額指數,45_46,批發業,10405,80.65,110年=100
營業額指數,45_46,批發業,10406,83.07,110年=100
營業額指數,45_46,批發業,10407,82.75,110年=100
營業額指數,45_46,批發業,10408,79.95,110年=100
營業額指數,45_46,批發業,10409,82.11,110年=100
營業額指數,45_46,批發業,10410,82.98,110年=100
營業額指數,45_46,批發業,10411,80.49,110年=100
營業額指數,45_46,批發業,10412,84.80,110年=100
營業額指數,45_46,批發業,10501,80.85,110年=100
營業額指數,45_46,批發業,10502,61.74,110年=100
營業額指數,45_46,批發業,10503,79.46,110年=100
營業額指數,45_46,批發業,10504,78.17,110年=100
營業額指數,45_46,批發業,10505,78.58,110年=100
營業額指數,45_46,批發業,10506,81.26,110年=100
營業額指數,45_46,批發業,10507,81.30,110年=100
營業額指數,45_46,批發業,10508,84.86,110年=100
營業額指數,45_46,批發業,10509,83.28,110年=100
營業額指數,45_46,批發業,10510,83.99,110年=100
營業額指數,45_46,批發業,10511,85.65,110年=100
營業額指數,45_46,批發業,10512,86.54,110年=100
營業額指數,45_46,批發業,10601,82.65,110年=100
營業額指數,45_46,批發業,10602,71.59,110年=100
營業額指數,45_46,批發業,10603,87.33,110年=100
營業額指數,45_46,批發業,10604,81.49,110年=100
營業額指數,45_46,批發業,10605,84.56,110年=100
營業額指數,45_46,批發業,10606,87.99,110年=100
營業額指數,45_46,批發業,10607,85.16,110年=100
營業額指數,45_46,批發業,10608,88.79,110年=100
營業額指數,45_46,批發業,10609,88.97,110年=100
營業額指數,45_46,批發業,10610,85.77,110年=100
營業額指數,45_46,批發業,10611,89.70,110年=100
營業額指數,45_46,批發業,10612,90.76,110年=100
營業額指數,45_46,批發業,10701,93.77,110年=100
營業額指數,45_46,批發業,10702,69.83,110年=100
營業額指數,45_46,批發業,10703,92.04,110年=100
營業額指數,45_46,批發業,10704,83.89,110年=100
營業額指數,45_46,批發業,10705,90.89,110年=100
營業額指數,45_46,批發業,10706,88.72,110年=100
營業額指數,45_46,批發業,10707,88.92,110年=100
營業額指數,45_46,批發業,10708,91.80,110年=100
營業額指數,45_46,批發業,10709,88.07,110年=100
營業額指數,45_46,批發業,10710,89.85,110年=100
營業額指數,45_46,批發業,10711,87.97,110年=100
營業額指數,45_46,批發業,10712,85.12,110年=100
營業額指數,45_46,批發業,10801,94.35,110年=100
營業額指數,45_46,批發業,10802,65.98,110年=100
營業額指數,45_46,批發業,10803,84.82,110年=100
營業額指數,45_46,批發業,10804,84.07,110年=100
營業額指數,45_46,批發業,10805,85.62,110年=100
營業額指數,45_46,批發業,10806,83.31,110年=100
營業額指數,45_46,批發業,10807,91.24,110年=100
營業額指數,45_46,批發業,10808,87.75,110年=100
營業額指數,45_46,批發業,10809,88.06,110年=100
營業額指數,45_46,批發業,10810,91.24,110年=100
營業額指數,45_46,批發業,10811,89.08,110年=100
營業額指數,45_46,批發業,10812,91.45,110年=100
營業額指數,45_46,批發業,10901,84.34,110年=100
營業額指數,45_46,批發業,10902,78.76,110年=100
營業額指數,45_46,批發業,10903,93.50,110年=100
營業額指數,45_46,批發業,10904,86.20,110年=100
營業額指數,45_46,批發業,10905,84.18,110年=100
營業額指數,45_46,批發業,10906,87.97,110年=100
營業額指數,45_46,批發業,10907,95.46,110年=100
營業額指數,45_46,批發業,10908,92.27,110年=100
營業額指數,45_46,批發業,10909,100.46,110年=100
營業額指數,45_46,批發業,10910,94.40,110年=100
營業額指數,45_46,批發業,10911,99.50,110年=100
營業額指數,45_46,批發業,10912,104.56,110年=100
營業額指數,45_46,批發業,11001,103.25,110年=100
營業額指數,45_46,批發業,11002,83.55,110年=100
營業額指數,45_46,批發業,11003,103.49,110年=100
營業額指數,45_46,批發業,11004,100.66,110年=100
營業額指數,45_46,批發業,11005,100.17,110年=100
營業額指數,45_46,批發業,11006,96.98,110年=100
營業額指數,45_46,批發業,11007,98.20,110年=100
營業額指數,45_46,批發業,11008,100.15,110年=100
營業額指數,45_46,批發業,11009,104.53,110年=100
營業額指數,45_46,批發業,11010,98.26,110年=100
營業額指數,45_46,批發業,11011,103.93,110年=100
營業額指數,45_46,批發業,11012,106.85,110年=100
營業額指數,45_46,批發業,11101,109.28,110年=100
營業額指數,45_46,批發業,11102,82.68,110年=100
營業額指數,45_46,批發業,11103,109.42,110年=100
營業額指數,45_46,批發業,11104,97.91,110年=100
營業額指數,45_46,批發業,11105,98.01,110年=100
營業額指數,45_46,批發業,11106,98.89,110年=100
營業額指數,45_46,批發業,11107,95.76,110年=100
營業額指數,45_46,批發業,11108,96.00,110年=100
營業額指數,45_46,批發業,11109,99.66,110年=100
營業額指數,45_46,批發業,11110,95.30,110年=100
營業額指數,45_46,批發業,11111,91.88,110年=100
營業額指數,45_46,批發業,11112,97.42,110年=100
營業額指數,45_46,批發業,11201,85.92,110年=100
營業額指數,45_46,批發業,11202,81.73,110年=100
營業額指數,45_46,批發業,11203,96.10,110年=100
營業額指數,45_46,批發業,11204,84.96,110年=100
營業額指數,45_46,批發業,11205,89.14,110年=100
營業額指數,45_46,批發業,11206,91.41,110年=100
營業額指數,45_46,批發業,11207,92.51,110年=100
營業額指數,45_46,批發業,11208,91.59,110年=100
營業額指數,45_46,批發業,11209,98.44,110年=100
營業額指數,45_46,批發業,11210,96.55,110年=100
營業額指數,45_46,批發業,11211,96.70,110年=100
營業額指數,45_46,批發業,11212,96.62,110年=100
營業額指數,45_46,批發業,11301,104.81,110年=100
營業額指數,45_46,批發業,11302,77.71,110年=100
營業額指數,45_46,批發業,11303,99.15,110年=100
營業額指數,45_46,批發業,11304,96.36,110年=100
營業額指數,45_46,批發業,11305,97.86,110年=100
營業額指數,45_46,批發業,11306,96.08,110年=100
營業額指數,45_46,批發業,11307,101.35,110年=100
營業額指數,45_46,批發業,11308,98.69,110年=100
營業額指數,45_46,批發業,11309,102.74,110年=100
營業額指數,45_46,批發業,11310,102.66,110年=100
營業額指數,45_46,批發業,11311,97.57,110年=100
營業額指數,45_46,批發業,11312,106.43,110年=100
營業額指數,45_46,批發業,11401,98.60,110年=100
營業額指數,45_46,批發業,11402,94.39,110年=100
營業額指數,45_46,批發業,11403,106.43,110年=100
營業額指數,45_46,批發業,11404,111.14,110年=100
營業額指數,45_46,批發業,11405,109.50,110年=100
營業額指數,45_46,批發業,11406,104.90,110年=100
營業額指數,45_46,批發業,11407,109.05,110年=100
營業額指數,45_46,批發業,11408,106.35,110年=100
營業額指數,45_46,批發業,11409,120.70,110年=100
營業額指數,45_46,批發業,11410,116.75,110年=100
營業額指數,45_46,批發業,11411,115.37,110年=100
營業額指數,45_46,批發業,11412,113.71,110年=100
營業額指數,45_46,批發業,11501,128.36,110年=100
營業額指數,45_46,批發業,11502,97.42,110年=100
營業額指數,451,商品批發經紀業,08801,91.50,110年=100
營業額指數,451,商品批發經紀業,08802,87.24,110年=100
營業額指數,451,商品批發經紀業,08803,115.91,110年=100
營業額指數,451,商品批發經紀業,08804,98.59,110年=100
營業額指數,451,商品批發經紀業,08805,101.54,110年=100
營業額指數,451,商品批發經紀業,08806,106.46,110年=100
營業額指數,451,商品批發經紀業,08807,108.08,110年=100
營業額指數,451,商品批發經紀業,08808,103.51,110年=100
營業額指數,451,商品批發經紀業,08809,102.50,110年=100
營業額指數,451,商品批發經紀業,08810,102.87,110年=100
營業額指數,451,商品批發經紀業,08811,105.80,110年=100
營業額指數,451,商品批發經紀業,08812,111.32,110年=100
營業額指數,451,商品批發經紀業,08901,103.08,110年=100
營業額指數,451,商品批發經紀業,08902,95.53,110年=100
營業額指數,451,商品批發經紀業,08903,128.97,110年=100
營業額指數,451,商品批發經紀業,08904,108.38,110年=100
營業額指數,451,商品批發經紀業,08905,112.93,110年=100
營業額指數,451,商品批發經紀業,08906,115.86,110年=100
營業額指數,451,商品批發經紀業,08907,118.31,110年=100
營業額指數,451,商品批發經紀業,08908,114.66,110年=100
營業額指數,451,商品批發經紀業,08909,114.24,110年=100
營業額指數,451,商品批發經紀業,08910,108.12,110年=100
營業額指數,451,商品批發經紀業,08911,109.59,110年=100
營業額指數,451,商品批發經紀業,08912,111.03,110年=100
營業額指數,451,商品批發經紀業,09001,112.66,110年=100
營業額指數,451,商品批發經紀業,09002,94.50,110年=100
營業額指數,451,商品批發經紀業,09003,106.18,110年=100
營業額指數,451,商品批發經紀業,09004,106.05,110年=100
營業額指數,451,商品批發經紀業,09005,97.43,110年=100
營業額指數,451,商品批發經紀業,09006,100.37,110年=100
營業額指數,451,商品批發經紀業,09007,104.98,110年=100
營業額指數,451,商品批發經紀業,09008,105.43,110年=100
營業額指數,451,商品批發經紀業,09009,101.60,110年=100
營業額指數,451,商品批發經紀業,09010,103.28,110年=100
營業額指數,451,商品批發經紀業,09011,105.63,110年=100
營業額指數,451,商品批發經紀業,09012,112.92,110年=100
營業額指數,451,商品批發經紀業,09101,104.88,110年=100
營業額指數,451,商品批發經紀業,09102,90.46,110年=100
營業額指數,451,商品批發經紀業,09103,105.44,110年=100
營業額指數,451,商品批發經紀業,09104,114.60,110年=100
營業額指數,451,商品批發經紀業,09105,105.71,110年=100
營業額指數,451,商品批發經紀業,09106,106.25,110年=100
營業額指數,451,商品批發經紀業,09107,105.72,110年=100
營業額指數,451,商品批發經紀業,09108,100.78,110年=100
營業額指數,451,商品批發經紀業,09109,103.09,110年=100
營業額指數,451,商品批發經紀業,09110,103.66,110年=100
營業額指數,451,商品批發經紀業,09111,110.24,110年=100
營業額指數,451,商品批發經紀業,09112,107.60,110年=100
營業額指數,451,商品批發經紀業,09201,101.16,110年=100
營業額指數,451,商品批發經紀業,09202,87.41,110年=100
營業額指數,451,商品批發經紀業,09203,97.01,110年=100
營業額指數,451,商品批發經紀業,09204,101.63,110年=100
營業額指數,451,商品批發經紀業,09205,90.54,110年=100
營業額指數,451,商品批發經紀業,09206,96.37,110年=100
營業額指數,451,商品批發經紀業,09207,100.80,110年=100
營業額指數,451,商品批發經紀業,09208,111.16,110年=100
營業額指數,451,商品批發經紀業,09209,107.60,110年=100
營業額指數,451,商品批發經紀業,09210,109.33,110年=100
營業額指數,451,商品批發經紀業,09211,117.47,110年=100
營業額指數,451,商品批發經紀業,09212,124.73,110年=100
營業額指數,451,商品批發經紀業,09301,102.97,110年=100
營業額指數,451,商品批發經紀業,09302,104.34,110年=100
營業額指數,451,商品批發經紀業,09303,109.69,110年=100
營業額指數,451,商品批發經紀業,09304,104.05,110年=100
營業額指數,451,商品批發經紀業,09305,98.26,110年=100
營業額指數,451,商品批發經紀業,09306,97.79,110年=100
營業額指數,451,商品批發經紀業,09307,97.35,110年=100
營業額指數,451,商品批發經紀業,09308,89.27,110年=100
營業額指數,451,商品批發經紀業,09309,103.01,110年=100
營業額指數,451,商品批發經紀業,09310,109.10,110年=100
營業額指數,451,商品批發經紀業,09311,109.69,110年=100
營業額指數,451,商品批發經紀業,09312,122.22,110年=100
營業額指數,451,商品批發經紀業,09401,123.72,110年=100
營業額指數,451,商品批發經紀業,09402,101.63,110年=100
營業額指數,451,商品批發經紀業,09403,114.84,110年=100
營業額指數,451,商品批發經紀業,09404,108.15,110年=100
營業額指數,451,商品批發經紀業,09405,105.43,110年=100
營業額指數,451,商品批發經紀業,09406,97.50,110年=100
營業額指數,451,商品批發經紀業,09407,89.42,110年=100
營業額指數,451,商品批發經紀業,09408,91.12,110年=100
營業額指數,451,商品批發經紀業,09409,89.43,110年=100
營業額指數,451,商品批發經紀業,09410,97.36,110年=100
營業額指數,451,商品批發經紀業,09411,99.68,110年=100
營業額指數,451,商品批發經紀業,09412,109.63,110年=100
營業額指數,451,商品批發經紀業,09501,106.83,110年=100
營業額指數,451,商品批發經紀業,09502,101.85,110年=100
營業額指數,451,商品批發經紀業,09503,119.14,110年=100
營業額指數,451,商品批發經紀業,09504,119.84,110年=100
營業額指數,451,商品批發經紀業,09505,124.92,110年=100
營業額指數,451,商品批發經紀業,09506,111.01,110年=100
營業額指數,451,商品批發經紀業,09507,112.77,110年=100
營業額指數,451,商品批發經紀業,09508,104.46,110年=100
營業額指數,451,商品批發經紀業,09509,106.69,110年=100
營業額指數,451,商品批發經紀業,09510,103.70,110年=100
營業額指數,451,商品批發經紀業,09511,102.34,110年=100
營業額指數,451,商品批發經紀業,09512,113.19,110年=100
營業額指數,451,商品批發經紀業,09601,105.54,110年=100
營業額指數,451,商品批發經紀業,09602,99.41,110年=100
營業額指數,451,商品批發經紀業,09603,128.89,110年=100
營業額指數,451,商品批發經紀業,09604,115.45,110年=100
營業額指數,451,商品批發經紀業,09605,121.27,110年=100
營業額指數,451,商品批發經紀業,09606,115.85,110年=100
營業額指數,451,商品批發經紀業,09607,110.21,110年=100
營業額指數,451,商品批發經紀業,09608,113.17,110年=100
營業額指數,451,商品批發經紀業,09609,106.78,110年=100
營業額指數,451,商品批發經紀業,09610,110.48,110年=100
營業額指數,451,商品批發經紀業,09611,94.11,110年=100
營業額指數,451,商品批發經紀業,09612,108.31,110年=100
營業額指數,451,商品批發經紀業,09701,102.18,110年=100
營業額指數,451,商品批發經紀業,09702,96.51,110年=100
營業額指數,451,商品批發經紀業,09703,129.60,110年=100
營業額指數,451,商品批發經紀業,09704,114.55,110年=100
營業額指數,451,商品批發經紀業,09705,114.14,110年=100
營業額指數,451,商品批發經紀業,09706,112.12,110年=100
營業額指數,451,商品批發經紀業,09707,117.11,110年=100
營業額指數,451,商品批發經紀業,09708,105.43,110年=100
營業額指數,451,商品批發經紀業,09709,107.78,110年=100
營業額指數,451,商品批發經紀業,09710,111.76,110年=100
營業額指數,451,商品批發經紀業,09711,84.19,110年=100
營業額指數,451,商品批發經紀業,09712,93.24,110年=100
營業額指數,451,商品批發經紀業,09801,79.57,110年=100
營業額指數,451,商品批發經紀業,09802,76.31,110年=100
營業額指數,451,商品批發經紀業,09803,85.37,110年=100
營業額指數,451,商品批發經紀業,09804,92.02,110年=100
營業額指數,451,商品批發經紀業,09805,86.50,110年=100
營業額指數,451,商品批發經紀業,09806,87.02,110年=100
營業額指數,451,商品批發經紀業,09807,95.28,110年=100
營業額指數,451,商品批發經紀業,09808,88.34,110年=100
營業額指數,451,商品批發經紀業,09809,101.93,110年=100
營業額指數,451,商品批發經紀業,09810,106.16,110年=100
營業額指數,451,商品批發經紀業,09811,93.95,110年=100
營業額指數,451,商品批發經紀業,09812,106.29,110年=100
營業額指數,451,商品批發經紀業,09901,99.88,110年=100
營業額指數,451,商品批發經紀業,09902,94.89,110年=100
營業額指數,451,商品批發經紀業,09903,101.02,110年=100
營業額指數,451,商品批發經紀業,09904,103.05,110年=100
營業額指數,451,商品批發經紀業,09905,97.78,110年=100
營業額指數,451,商品批發經紀業,09906,103.46,110年=100
營業額指數,451,商品批發經紀業,09907,107.24,110年=100
營業額指數,451,商品批發經紀業,09908,92.97,110年=100
營業額指數,451,商品批發經紀業,09909,102.15,110年=100
營業額指數,451,商品批發經紀業,09910,104.25,110年=100
營業額指數,451,商品批發經紀業,09911,97.65,110年=100
營業額指數,451,商品批發經紀業,09912,109.74,110年=100
營業額指數,451,商品批發經紀業,10001,101.12,110年=100
營業額指數,451,商品批發經紀業,10002,92.88,110年=100
營業額指數,451,商品批發經紀業,10003,98.96,110年=100
營業額指數,451,商品批發經紀業,10004,104.16,110年=100
營業額指數,451,商品批發經紀業,10005,102.81,110年=100
營業額指數,451,商品批發經紀業,10006,101.71,110年=100
營業額指數,451,商品批發經紀業,10007,97.94,110年=100
營業額指數,451,商品批發經紀業,10008,91.61,110年=100
營業額指數,451,商品批發經紀業,10009,93.23,110年=100
營業額指數,451,商品批發經紀業,10010,92.06,110年=100
營業額指數,451,商品批發經紀業,10011,91.73,110年=100
營業額指數,451,商品批發經紀業,10012,96.37,110年=100
營業額指數,451,商品批發經紀業,10101,88.47,110年=100
營業額指數,451,商品批發經紀業,10102,81.06,110年=100
營業額指數,451,商品批發經紀業,10103,98.77,110年=100
營業額指數,451,商品批發經紀業,10104,104.24,110年=100
營業額指數,451,商品批發經紀業,10105,101.27,110年=100
營業額指數,451,商品批發經紀業,10106,94.67,110年=100
營業額指數,451,商品批發經紀業,10107,92.20,110年=100
營業額指數,451,商品批發經紀業,10108,93.02,110年=100
營業額指數,451,商品批發經紀業,10109,91.54,110年=100
營業額指數,451,商品批發經紀業,10110,82.87,110年=100
營業額指數,451,商品批發經紀業,10111,82.62,110年=100
營業額指數,451,商品批發經紀業,10112,85.53,110年=100
營業額指數,451,商品批發經紀業,10201,88.52,110年=100
營業額指數,451,商品批發經紀業,10202,77.41,110年=100
營業額指數,451,商品批發經紀業,10203,113.50,110年=100
營業額指數,451,商品批發經紀業,10204,110.06,110年=100
營業額指數,451,商品批發經紀業,10205,105.15,110年=100
營業額指數,451,商品批發經紀業,10206,95.74,110年=100
營業額指數,451,商品批發經紀業,10207,98.98,110年=100
營業額指數,451,商品批發經紀業,10208,94.77,110年=100
營業額指數,451,商品批發經紀業,10209,94.02,110年=100
營業額指數,451,商品批發經紀業,10210,93.11,110年=100
營業額指數,451,商品批發經紀業,10211,94.93,110年=100
營業額指數,451,商品批發經紀業,10212,87.20,110年=100
營業額指數,451,商品批發經紀業,10301,88.78,110年=100
營業額指數,451,商品批發經紀業,10302,83.99,110年=100
營業額指數,451,商品批發經紀業,10303,99.48,110年=100
營業額指數,451,商品批發經紀業,10304,109.25,110年=100
營業額指數,451,商品批發經紀業,10305,111.37,110年=100
營業額指數,451,商品批發經紀業,10306,102.33,110年=100
營業額指數,451,商品批發經紀業,10307,107.25,110年=100
營業額指數,451,商品批發經紀業,10308,90.75,110年=100
營業額指數,451,商品批發經紀業,10309,87.24,110年=100
