Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
總指數(指數基期：民國110年=100),1984M08,M,年增率(%),0.81
總指數(指數基期：民國110年=100),1984M09,M,原始值,57.69
總指數(指數基期：民國110年=100),1984M09,M,年增率(%),0.84
總指數(指數基期：民國110年=100),1984M10,M,原始值,57.46
總指數(指數基期：民國110年=100),1984M10,M,年增率(%),0.47
總指數(指數基期：民國110年=100),1984M11,M,原始值,57.13
總指數(指數基期：民國110年=100),1984M11,M,年增率(%),0.74
總指數(指數基期：民國110年=100),1984M12,M,原始值,56.85
總指數(指數基期：民國110年=100),1984M12,M,年增率(%),1.64
總指數(指數基期：民國110年=100),1985M01,M,原始值,56.88
總指數(指數基期：民國110年=100),1985M01,M,年增率(%),1.63
總指數(指數基期：民國110年=100),1985M02,M,原始值,57.33
總指數(指數基期：民國110年=100),1985M02,M,年增率(%),1.4
總指數(指數基期：民國110年=100),1985M03,M,原始值,57.36
總指數(指數基期：民國110年=100),1985M03,M,年增率(%),1.18
總指數(指數基期：民國110年=100),1985M04,M,原始值,57.08
總指數(指數基期：民國110年=100),1985M04,M,年增率(%),0.49
總指數(指數基期：民國110年=100),1985M05,M,原始值,56.9
總指數(指數基期：民國110年=100),1985M05,M,年增率(%),-1.03
總指數(指數基期：民國110年=100),1985M06,M,原始值,56.81
總指數(指數基期：民國110年=100),1985M06,M,年增率(%),-1.1
總指數(指數基期：民國110年=100),1985M07,M,原始值,56.87
總指數(指數基期：民國110年=100),1985M07,M,年增率(%),-0.72
總指數(指數基期：民國110年=100),1985M08,M,原始值,56.62
總指數(指數基期：民國110年=100),1985M08,M,年增率(%),-1.51
總指數(指數基期：民國110年=100),1985M09,M,原始值,57.56
總指數(指數基期：民國110年=100),1985M09,M,年增率(%),-0.23
總指數(指數基期：民國110年=100),1985M10,M,原始值,57.5
總指數(指數基期：民國110年=100),1985M10,M,年增率(%),0.07
總指數(指數基期：民國110年=100),1985M11,M,原始值,56.7
總指數(指數基期：民國110年=100),1985M11,M,年增率(%),-0.75
總指數(指數基期：民國110年=100),1985M12,M,原始值,56.11
總指數(指數基期：民國110年=100),1985M12,M,年增率(%),-1.3
總指數(指數基期：民國110年=100),1986M01,M,原始值,56.64
總指數(指數基期：民國110年=100),1986M01,M,年增率(%),-0.42
總指數(指數基期：民國110年=100),1986M02,M,原始值,56.8
總指數(指數基期：民國110年=100),1986M02,M,年增率(%),-0.92
總指數(指數基期：民國110年=100),1986M03,M,原始值,56.79
總指數(指數基期：民國110年=100),1986M03,M,年增率(%),-0.99
總指數(指數基期：民國110年=100),1986M04,M,原始值,56.93
總指數(指數基期：民國110年=100),1986M04,M,年增率(%),-0.26
總指數(指數基期：民國110年=100),1986M05,M,原始值,57.01
總指數(指數基期：民國110年=100),1986M05,M,年增率(%),0.19
總指數(指數基期：民國110年=100),1986M06,M,原始值,57.15
總指數(指數基期：民國110年=100),1986M06,M,年增率(%),0.6
總指數(指數基期：民國110年=100),1986M07,M,原始值,57.01
總指數(指數基期：民國110年=100),1986M07,M,年增率(%),0.25
總指數(指數基期：民國110年=100),1986M08,M,原始值,57.32
總指數(指數基期：民國110年=100),1986M08,M,年增率(%),1.24
總指數(指數基期：民國110年=100),1986M09,M,原始值,58.78
總指數(指數基期：民國110年=100),1986M09,M,年增率(%),2.12
總指數(指數基期：民國110年=100),1986M10,M,原始值,58.65
總指數(指數基期：民國110年=100),1986M10,M,年增率(%),2
總指數(指數基期：民國110年=100),1986M11,M,原始值,57.84
總指數(指數基期：民國110年=100),1986M11,M,年增率(%),2.01
總指數(指數基期：民國110年=100),1986M12,M,原始值,57.58
總指數(指數基期：民國110年=100),1986M12,M,年增率(%),2.62
總指數(指數基期：民國110年=100),1987M01,M,原始值,57.43
總指數(指數基期：民國110年=100),1987M01,M,年增率(%),1.39
總指數(指數基期：民國110年=100),1987M02,M,原始值,57.31
總指數(指數基期：民國110年=100),1987M02,M,年增率(%),0.9
總指數(指數基期：民國110年=100),1987M03,M,原始值,56.86
總指數(指數基期：民國110年=100),1987M03,M,年增率(%),0.12
總指數(指數基期：民國110年=100),1987M04,M,原始值,57.06
總指數(指數基期：民國110年=100),1987M04,M,年增率(%),0.23
總指數(指數基期：民國110年=100),1987M05,M,原始值,57.07
總指數(指數基期：民國110年=100),1987M05,M,年增率(%),0.11
總指數(指數基期：民國110年=100),1987M06,M,原始值,57.11
總指數(指數基期：民國110年=100),1987M06,M,年增率(%),-0.07
總指數(指數基期：民國110年=100),1987M07,M,原始值,57.77
總指數(指數基期：民國110年=100),1987M07,M,年增率(%),1.33
總指數(指數基期：民國110年=100),1987M08,M,原始值,58.24
總指數(指數基期：民國110年=100),1987M08,M,年增率(%),1.61
總指數(指數基期：民國110年=100),1987M09,M,原始值,58.45
總指數(指數基期：民國110年=100),1987M09,M,年增率(%),-0.56
總指數(指數基期：民國110年=100),1987M10,M,原始值,57.93
總指數(指數基期：民國110年=100),1987M10,M,年增率(%),-1.23
總指數(指數基期：民國110年=100),1987M11,M,原始值,58.09
總指數(指數基期：民國110年=100),1987M11,M,年增率(%),0.43
總指數(指數基期：民國110年=100),1987M12,M,原始值,58.69
總指數(指數基期：民國110年=100),1987M12,M,年增率(%),1.93
總指數(指數基期：民國110年=100),1988M01,M,原始值,57.74
總指數(指數基期：民國110年=100),1988M01,M,年增率(%),0.54
總指數(指數基期：民國110年=100),1988M02,M,原始值,57.51
